#{"t_start": 1778855587.519965, "env_id": "None"}
r,l,t
873.617809,50,21.575736
597.834306,50,21.644206
444.645843,50,21.719354
534.341115,50,21.773574
597.953816,50,21.843607
703.618599,50,21.920254
671.784047,50,21.996121
531.069028,50,22.065645
414.354763,50,22.125986
840.263756,50,22.176026
825.859238,50,22.251053
690.046948,50,22.328676
401.113951,50,22.402803
593.670543,50,22.471745
563.575206,50,22.545265
385.911276,50,22.610111
406.096594,50,22.673855
593.65543,50,22.728082
645.874231,50,22.804188
695.401927,50,22.863939
462.351293,50,22.950114
507.583533,50,23.029171
601.648974,50,23.097678
540.56437,50,23.152649
479.410644,50,23.20612
573.785247,50,23.271178
538.541688,50,23.360206
607.459564,50,23.445309
478.571416,50,23.522323
600.662712,50,23.601226
737.715995,50,23.692638
502.391813,50,23.775539
573.132807,50,23.853601
776.619173,50,23.923166
630.306234,50,24.004197
417.498989,50,24.068364
659.261037,50,24.12852
616.312368,50,24.199049
522.989309,50,24.266047
645.849319,50,24.343565
535.915913,50,24.431215
380.925792,50,24.507026
511.895679,50,24.603068
599.11901,50,24.683809
607.414088,50,24.771913
671.634669,50,24.853137
594.937268,50,24.931863
546.1764,50,24.985563
560.944063,50,25.041538
509.160172,50,25.100781
594.553956,50,25.183614
389.387418,50,25.26048
583.24411,50,25.344305
489.515314,50,25.423966
510.815951,50,25.509944
743.820532,50,25.571747
572.851039,50,25.658838
788.166081,50,25.751353
398.427797,50,25.851741
496.841324,50,25.929635
584.002011,50,26.018772
650.53943,50,26.112559
478.995058,50,26.201888
605.496094,50,26.269777
576.093114,50,26.339792
765.332821,50,26.423534
647.2826,50,26.606599
441.99437,50,26.687372
798.417795,50,26.76843
634.773947,50,26.848547
680.206382,50,26.936487
457.373202,50,27.022872
453.702438,50,27.081537
472.568145,50,27.133899
551.841465,50,27.204471
878.586332,50,27.266722
647.019234,50,27.34007
639.369513,50,27.411116
649.891308,50,27.49768
808.384278,50,27.572214
476.967511,50,27.653862
578.985067,50,27.718828
599.916124,50,27.795501
621.33823,50,27.857107
618.496226,50,27.92422
525.864092,50,27.99363
649.793251,50,28.070001
347.929323,50,28.17192
565.03865,50,28.258435
589.078533,50,28.32311
601.173929,50,28.415302
565.010452,50,28.473769
387.597246,50,28.539037
596.446078,50,28.593755
479.579476,50,28.673853
777.224753,50,28.730946
759.962291,50,28.786611
553.109274,50,28.841664
789.38871,50,28.915591
836.495866,50,28.981806
540.966945,50,29.053351
697.984656,50,29.111848
790.079766,50,29.188628
511.876879,50,29.244159
668.962993,50,29.318571
641.293577,50,29.388214
820.509368,50,29.466658
504.820133,50,29.527865
667.647624,50,29.581538
846.840937,50,29.642077
889.593926,50,29.723093
778.318257,50,29.80567
745.511728,50,29.885257
481.443967,50,29.962199
479.965215,50,30.055715
755.171439,50,30.12673
709.052808,50,30.196032
838.037581,50,30.258875
738.308948,50,30.358223
781.11174,50,30.440442
690.082982,50,30.52445
572.944443,50,30.599241
